RUN	linebot.LineBotSimulation	linebotsimulation	1593592739904	 	3.3.1
REQUEST	68		parrot	1593592752899	1593592752901	OK	 
REQUEST	68		send location	1593592752902	1593592752904	OK	 
REQUEST	68		send postback	1593592752907	1593592752911	OK	 
USER	All Check	68	END	1593592752892	1593592752912
USER	All Check	69	START	1593592752943	1593592752943
REQUEST	69		healthy	1593592752944	1593592752946	OK	 
REQUEST	69		who are you	1593592752947	1593592752949	OK	 
REQUEST	69		parrot	1593592752950	1593592752952	OK	 
REQUEST	69		send location	1593592752954	1593592752956	OK	 
REQUEST	69		send postback	1593592752957	1593592752959	OK	 
USER	All Check	69	END	1593592752943	1593592752960
USER	All Check	70	START	1593592752993	1593592752993
REQUEST	70		healthy	1593592752993	1593592752995	OK	 
REQUEST	70		who are you	1593592752996	1593592752998	OK	 
REQUEST	70		parrot	1593592752999	1593592753002	OK	 
REQUEST	70		send location	1593592753004	1593592753005	OK	 
REQUEST	70		send postback	1593592753007	1593592753008	OK	 
USER	All Check	70	END	1593592752993	1593592753009
USER	All Check	71	START	1593592753032	1593592753032
REQUEST	71		healthy	1593592753033	1593592753036	OK	 
REQUEST	71		who are you	1593592753036	1593592753038	OK	 
REQUEST	71		parrot	1593592753040	1593592753041	OK	 
REQUEST	71		send location	1593592753043	1593592753044	OK	 
REQUEST	71		send postback	1593592753045	1593592753047	OK	 
USER	All Check	71	END	1593592753032	1593592753048
USER	All Check	72	START	1593592753082	1593592753082
REQUEST	72		healthy	1593592753083	1593592753086	OK	 
REQUEST	72		who are you	1593592753087	1593592753089	OK	 
REQUEST	72		parrot	1593592753090	1593592753092	OK	 
REQUEST	72		send location	1593592753093	1593592753095	OK	 
REQUEST	72		send postback	1593592753096	1593592753098	OK	 
USER	All Check	72	END	1593592753082	1593592753099
USER	All Check	73	START	1593592753132	1593592753132
REQUEST	73		healthy	1593592753133	1593592753136	OK	 
REQUEST	73		who are you	1593592753138	1593592753140	OK	 
REQUEST	73		parrot	1593592753141	1593592753144	OK	 
REQUEST	73		send location	1593592753145	1593592753148	OK	 
REQUEST	73		send postback	1593592753150	1593592753152	OK	 
USER	All Check	73	END	1593592753132	1593592753153
