RUN	linebot.LineBotSimulation	linebotsimulation	1593599003853	 	3.3.1
USER	All Check	38	END	1593599015481	1593599015494
USER	All Check	39	START	1593599015561	1593599015561
REQUEST	39		who are you	1593599015563	1593599015567	OK	 
REQUEST	39		parrot	1593599015568	1593599015570	OK	 
REQUEST	39		send location	1593599015571	1593599015572	OK	 
REQUEST	39		send postback	1593599015574	1593599015575	OK	 
USER	All Check	39	END	1593599015561	1593599015576
USER	All Check	40	START	1593599015639	1593599015639
REQUEST	40		who are you	1593599015641	1593599015643	OK	 
REQUEST	40		parrot	1593599015645	1593599015647	OK	 
REQUEST	40		send location	1593599015649	1593599015650	OK	 
REQUEST	40		send postback	1593599015653	1593599015654	OK	 
USER	All Check	40	END	1593599015639	1593599015656
USER	All Check	41	START	1593599015731	1593599015731
REQUEST	41		who are you	1593599015733	1593599015736	OK	 
REQUEST	41		parrot	1593599015737	1593599015738	OK	 
REQUEST	41		send location	1593599015740	1593599015741	OK	 
REQUEST	41		send postback	1593599015742	1593599015743	OK	 
USER	All Check	41	END	1593599015731	1593599015745
USER	All Check	42	START	1593599015801	1593599015801
REQUEST	42		who are you	1593599015804	1593599015808	OK	 
REQUEST	42		parrot	1593599015810	1593599015811	OK	 
REQUEST	42		send location	1593599015812	1593599015813	OK	 
REQUEST	42		send postback	1593599015815	1593599015816	OK	 
USER	All Check	42	END	1593599015801	1593599015817
USER	All Check	43	START	1593599015882	1593599015882
REQUEST	43		who are you	1593599015884	1593599015886	OK	 
REQUEST	43		parrot	1593599015888	1593599015889	OK	 
REQUEST	43		send location	1593599015890	1593599015892	OK	 
REQUEST	43		send postback	1593599015894	1593599015895	OK	 
USER	All Check	43	END	1593599015882	1593599015896
USER	All Check	44	START	1593599015961	1593599015961
REQUEST	44		who are you	1593599015962	1593599015965	OK	 
REQUEST	44		parrot	1593599015966	1593599015967	OK	 
REQUEST	44		send location	1593599015968	1593599015970	OK	 
REQUEST	44		send postback	1593599015971	1593599015972	OK	 
USER	All Check	44	END	1593599015961	1593599015973
USER	All Check	45	START	1593599016030	1593599016030
REQUEST	45		who are you	1593599016032	1593599016034	OK	 
REQUEST	45		parrot	1593599016036	1593599016038	OK	 
REQUEST	45		send location	1593599016040	1593599016043	OK	 
REQUEST	45		send postback	1593599016045	1593599016047	OK	 
USER	All Check	45	END	1593599016030	1593599016053
USER	All Check	46	START	1593599016111	1593599016111
REQUEST	46		who are you	1593599016112	1593599016115	OK	 
REQUEST	46		parrot	1593599016116	1593599016117	OK	 
REQUEST	46		send location	1593599016119	1593599016120	OK	 
REQUEST	46		send postback	1593599016122	1593599016123	OK	 
USER	All Check	46	END	1593599016111	1593599016124
USER	All Check	47	START	1593599016181	1593599016181
REQUEST	47		who are you	1593599016182	1593599016185	OK	 
REQUEST	47		parrot	1593599016186	1593599016187	OK	 
REQUEST	47		send location	1593599016188	1593599016189	OK	 
REQUEST	47		send postback	1593599016191	1593599016192	OK	 
USER	All Check	47	END	1593599016181	1593599016193
USER	All Check	48	START	1593599016250	1593599016250
REQUEST	48		who are you	1593599016252	1593599016254	OK	 
REQUEST	48		parrot	1593599016256	1593599016257	OK	 
REQUEST	48		send location	1593599016258	1593599016259	OK	 
REQUEST	48		send postback	1593599016260	1593599016261	OK	 
USER	All Check	48	END	1593599016250	1593599016263
