RUN	linebot.LineBotSimulation	linebotsimulation	1593598413548	 	3.3.1
USER	All Check	29	START	1593598423886	1593598423886
REQUEST	29		who are you	1593598423888	1593598423890	OK	 
REQUEST	29		parrot	1593598423892	1593598423893	OK	 
REQUEST	29		send location	1593598423894	1593598423896	OK	 
REQUEST	29		send postback	1593598423897	1593598423899	OK	 
USER	All Check	29	END	1593598423886	1593598423900
USER	All Check	30	START	1593598423986	1593598423986
REQUEST	30		who are you	1593598423987	1593598423991	OK	 
REQUEST	30		parrot	1593598423993	1593598423994	OK	 
REQUEST	30		send location	1593598423996	1593598423997	OK	 
REQUEST	30		send postback	1593598423999	1593598424001	OK	 
USER	All Check	30	END	1593598423986	1593598424003
USER	All Check	31	START	1593598424086	1593598424086
REQUEST	31		who are you	1593598424088	1593598424090	OK	 
REQUEST	31		parrot	1593598424093	1593598424094	OK	 
REQUEST	31		send location	1593598424096	1593598424097	OK	 
REQUEST	31		send postback	1593598424099	1593598424100	OK	 
USER	All Check	31	END	1593598424086	1593598424102
USER	All Check	32	START	1593598424186	1593598424186
REQUEST	32		who are you	1593598424188	1593598424191	OK	 
REQUEST	32		parrot	1593598424193	1593598424194	OK	 
REQUEST	32		send location	1593598424196	1593598424197	OK	 
REQUEST	32		send postback	1593598424199	1593598424201	OK	 
USER	All Check	32	END	1593598424186	1593598424204
USER	All Check	33	START	1593598424286	1593598424286
REQUEST	33		who are you	1593598424288	1593598424290	OK	 
REQUEST	33		parrot	1593598424292	1593598424293	OK	 
REQUEST	33		send location	1593598424294	1593598424295	OK	 
REQUEST	33		send postback	1593598424297	1593598424297	OK	 
USER	All Check	33	END	1593598424286	1593598424298
USER	All Check	34	START	1593598424375	1593598424375
REQUEST	34		who are you	1593598424376	1593598424379	OK	 
REQUEST	34		parrot	1593598424381	1593598424382	OK	 
REQUEST	34		send location	1593598424384	1593598424385	OK	 
REQUEST	34		send postback	1593598424386	1593598424387	OK	 
USER	All Check	34	END	1593598424375	1593598424388
USER	All Check	35	START	1593598424467	1593598424467
REQUEST	35		who are you	1593598424469	1593598424471	OK	 
REQUEST	35		parrot	1593598424473	1593598424474	OK	 
REQUEST	35		send location	1593598424475	1593598424476	OK	 
REQUEST	35		send postback	1593598424478	1593598424479	OK	 
USER	All Check	35	END	1593598424467	1593598424480
USER	All Check	36	START	1593598424557	1593598424557
REQUEST	36		who are you	1593598424559	1593598424562	OK	 
REQUEST	36		parrot	1593598424563	1593598424564	OK	 
REQUEST	36		send location	1593598424566	1593598424567	OK	 
REQUEST	36		send postback	1593598424568	1593598424569	OK	 
USER	All Check	36	END	1593598424557	1593598424570
USER	All Check	37	START	1593598424636	1593598424636
REQUEST	37		who are you	1593598424638	1593598424640	OK	 
REQUEST	37		parrot	1593598424641	1593598424642	OK	 
REQUEST	37		send location	1593598424644	1593598424645	OK	 
REQUEST	37		send postback	1593598424647	1593598424648	OK	 
USER	All Check	37	END	1593598424636	1593598424650
USER	All Check	38	START	1593598424725	1593598424725
REQUEST	38		who are you	1593598424727	1593598424729	OK	 
REQUEST	38		parrot	1593598424730	1593598424731	OK	 
REQUEST	38		send location	1593598424732	1593598424734	OK	 
REQUEST	38		send postback	1593598424735	1593598424736	OK	 
USER	All Check	38	END	1593598424725	1593598424737
USER	All Check	39	START	1593598424805	1593598424805
REQUEST	39		who are you	1593598424807	1593598424810	OK	 
REQUEST	39		parrot	1593598424811	1593598424813	OK	 
REQUEST	39		send location	1593598424815	1593598424816	OK	 
REQUEST	39		send postback	1593598424818	1593598424820	OK	 
USER	All Check	39	END	1593598424805	1593598424821
USER	All Check	40	START	1593598424886	1593598424886
REQUEST	40		who are you	1593598424887	1593598424889	OK	 
REQUEST	40		parrot	1593598424890	1593598424892	OK	 
REQUEST	40		send location	1593598424893	1593598424894	OK	 
REQUEST	40		send postback	1593598424895	1593598424896	OK	 
USER	All Check	40	END	1593598424886	1593598424897
USER	All Check	41	START	1593598424955	1593598424955
REQUEST	41		who are you	1593598424957	1593598424960	OK	 
REQUEST	41		parrot	1593598424961	1593598424962	OK	 
REQUEST	41		send location	1593598424963	1593598424964	OK	 
REQUEST	41		send postback	1593598424966	1593598424968	OK	 
USER	All Check	41	END	1593598424955	1593598424969
USER	All Check	42	START	1593598425036	1593598425036
REQUEST	42		who are you	1593598425038	1593598425040	OK	 
REQUEST	42		parrot	1593598425041	1593598425042	OK	 
REQUEST	42		send location	1593598425044	1593598425045	OK	 
REQUEST	42		send postback	1593598425046	1593598425048	OK	 
USER	All Check	42	END	1593598425036	1593598425049
USER	All Check	43	START	1593598425115	1593598425115
REQUEST	43		who are you	1593598425117	1593598425120	OK	 
REQUEST	43		parrot	1593598425122	1593598425123	OK	 
REQUEST	43		send location	1593598425126	1593598425128	OK	 
REQUEST	43		send postback	1593598425131	1593598425134	OK	 
USER	All Check	43	END	1593598425115	1593598425135
USER	All Check	44	START	1593598425187	1593598425187
REQUEST	44		who are you	1593598425188	1593598425190	OK	 
REQUEST	44		parrot	1593598425191	1593598425192	OK	 
REQUEST	44		send location	1593598425194	1593598425195	OK	 
REQUEST	44		send postback	1593598425196	1593598425197	OK	 
USER	All Check	44	END	1593598425187	1593598425198
USER	All Check	45	START	1593598425256	1593598425256
REQUEST	45		who are you	1593598425258	1593598425260	OK	 
REQUEST	45		parrot	1593598425262	1593598425262	OK	 
REQUEST	45		send location	1593598425264	1593598425265	OK	 
REQUEST	45		send postback	1593598425267	1593598425268	OK	 
USER	All Check	45	END	1593598425256	1593598425268
USER	All Check	46	START	1593598425327	1593598425327
REQUEST	46		who are you	1593598425329	1593598425332	OK	 
REQUEST	46		parrot	1593598425334	1593598425335	OK	 
REQUEST	46		send location	1593598425336	1593598425337	OK	 
REQUEST	46		send postback	1593598425339	1593598425340	OK	 
USER	All Check	46	END	1593598425327	1593598425341
USER	All Check	47	START	1593598425395	1593598425395
REQUEST	47		who are you	1593598425397	1593598425400	OK	 
REQUEST	47		parrot	1593598425401	1593598425402	OK	 
REQUEST	47		send location	1593598425404	1593598425406	OK	 
REQUEST	47		send postback	1593598425407	1593598425408	OK	 
USER	All Check	47	END	1593598425395	1593598425409
USER	All Check	48	START	1593598425466	1593598425466
