RUN	linebot.LineBotSimulation	linebotsimulation	1593597963820	 	3.3.1
USER	All Check	34	START	1593597974695	1593597974695
REQUEST	34		who are you	1593597974696	1593597974699	OK	 
REQUEST	34		parrot	1593597974701	1593597974703	OK	 
REQUEST	34		send location	1593597974704	1593597974706	OK	 
REQUEST	34		send postback	1593597974708	1593597974711	OK	 
USER	All Check	34	END	1593597974695	1593597974712
USER	All Check	35	START	1593597974784	1593597974784
REQUEST	35		who are you	1593597974786	1593597974789	OK	 
REQUEST	35		parrot	1593597974790	1593597974793	OK	 
REQUEST	35		send location	1593597974795	1593597974797	OK	 
REQUEST	35		send postback	1593597974799	1593597974801	OK	 
USER	All Check	35	END	1593597974784	1593597974803
USER	All Check	36	START	1593597974876	1593597974876
REQUEST	36		who are you	1593597974877	1593597974880	OK	 
REQUEST	36		parrot	1593597974882	1593597974884	OK	 
REQUEST	36		send location	1593597974885	1593597974887	OK	 
REQUEST	36		send postback	1593597974889	1593597974891	OK	 
USER	All Check	36	END	1593597974876	1593597974893
USER	All Check	37	START	1593597974966	1593597974966
REQUEST	37		who are you	1593597974968	1593597974972	OK	 
REQUEST	37		parrot	1593597974975	1593597974979	OK	 
REQUEST	37		send location	1593597974980	1593597974983	OK	 
REQUEST	37		send postback	1593597974985	1593597974986	OK	 
USER	All Check	37	END	1593597974966	1593597974987
USER	All Check	38	START	1593597975047	1593597975047
REQUEST	38		who are you	1593597975049	1593597975052	OK	 
REQUEST	38		parrot	1593597975053	1593597975054	OK	 
REQUEST	38		send location	1593597975056	1593597975058	OK	 
REQUEST	38		send postback	1593597975060	1593597975061	OK	 
USER	All Check	38	END	1593597975047	1593597975062
USER	All Check	39	START	1593597975127	1593597975127
REQUEST	39		who are you	1593597975128	1593597975130	OK	 
REQUEST	39		parrot	1593597975133	1593597975135	OK	 
REQUEST	39		send location	1593597975136	1593597975138	OK	 
REQUEST	39		send postback	1593597975140	1593597975142	OK	 
USER	All Check	39	END	1593597975127	1593597975143
USER	All Check	40	START	1593597975206	1593597975206
REQUEST	40		who are you	1593597975207	1593597975212	OK	 
REQUEST	40		parrot	1593597975214	1593597975215	OK	 
REQUEST	40		send location	1593597975217	1593597975219	OK	 
REQUEST	40		send postback	1593597975221	1593597975223	OK	 
USER	All Check	40	END	1593597975206	1593597975225
USER	All Check	41	START	1593597975286	1593597975286
REQUEST	41		who are you	1593597975288	1593597975293	OK	 
REQUEST	41		parrot	1593597975295	1593597975296	OK	 
REQUEST	41		send location	1593597975298	1593597975299	OK	 
REQUEST	41		send postback	1593597975301	1593597975302	OK	 
USER	All Check	41	END	1593597975286	1593597975303
USER	All Check	42	START	1593597975365	1593597975365
REQUEST	42		who are you	1593597975367	1593597975370	OK	 
REQUEST	42		parrot	1593597975371	1593597975373	OK	 
REQUEST	42		send location	1593597975374	1593597975376	OK	 
REQUEST	42		send postback	1593597975378	1593597975379	OK	 
USER	All Check	42	END	1593597975365	1593597975380
USER	All Check	43	START	1593597975434	1593597975434
REQUEST	43		who are you	1593597975436	1593597975438	OK	 
REQUEST	43		parrot	1593597975439	1593597975441	OK	 
REQUEST	43		send location	1593597975445	1593597975451	OK	 
REQUEST	43		send postback	1593597975453	1593597975454	OK	 
USER	All Check	43	END	1593597975434	1593597975455
USER	All Check	44	START	1593597975506	1593597975506
REQUEST	44		who are you	1593597975508	1593597975511	OK	 
REQUEST	44		parrot	1593597975512	1593597975514	OK	 
REQUEST	44		send location	1593597975515	1593597975517	OK	 
REQUEST	44		send postback	1593597975518	1593597975520	OK	 
USER	All Check	44	END	1593597975506	1593597975521
USER	All Check	45	START	1593597975585	1593597975585
REQUEST	45		who are you	1593597975586	1593597975590	OK	 
REQUEST	45		parrot	1593597975592	1593597975594	OK	 
REQUEST	45		send location	1593597975596	1593597975598	OK	 
REQUEST	45		send postback	1593597975600	1593597975602	OK	 
USER	All Check	45	END	1593597975585	1593597975603
USER	All Check	46	START	1593597975654	1593597975654
REQUEST	46		who are you	1593597975656	1593597975660	OK	 
REQUEST	46		parrot	1593597975662	1593597975663	OK	 
REQUEST	46		send location	1593597975665	1593597975667	OK	 
REQUEST	46		send postback	1593597975668	1593597975670	OK	 
USER	All Check	46	END	1593597975654	1593597975671
USER	All Check	47	START	1593597975726	1593597975726
REQUEST	47		who are you	1593597975728	1593597975731	OK	 
REQUEST	47		parrot	1593597975733	1593597975735	OK	 
REQUEST	47		send location	1593597975736	1593597975738	OK	 
REQUEST	47		send postback	1593597975739	1593597975740	OK	 
USER	All Check	47	END	1593597975726	1593597975742
USER	All Check	48	START	1593597975786	1593597975786
REQUEST	48		who are you	1593597975788	1593597975792	OK	 
REQUEST	48		parrot	1593597975793	1593597975794	OK	 
REQUEST	48		send location	1593597975796	1593597975798	OK	 
REQUEST	48		send postback	1593597975799	1593597975801	OK	 
USER	All Check	48	END	1593597975786	1593597975802
USER	All Check	49	START	1593597975856	1593597975856
REQUEST	49		who are you	1593597975858	1593597975862	OK	 
REQUEST	49		parrot	1593597975863	1593597975864	OK	 
REQUEST	49		send location	1593597975866	1593597975868	OK	 
REQUEST	49		send postback	1593597975869	1593597975870	OK	 
USER	All Check	49	END	1593597975856	1593597975871
USER	All Check	50	START	1593597975926	1593597975926
REQUEST	50		who are you	1593597975928	1593597975932	OK	 
REQUEST	50		parrot	1593597975934	1593597975937	OK	 
REQUEST	50		send location	1593597975938	1593597975940	OK	 
REQUEST	50		send postback	1593597975942	1593597975950	OK	 
USER	All Check	50	END	1593597975926	1593597975951
USER	All Check	51	START	1593597975985	1593597975985
REQUEST	51		who are you	1593597975986	1593597975989	OK	 
REQUEST	51		parrot	1593597975990	1593597975993	OK	 
REQUEST	51		send location	1593597975994	1593597975996	OK	 
REQUEST	51		send postback	1593597975998	1593597976000	OK	 
USER	All Check	51	END	1593597975985	1593597976002
USER	All Check	52	START	1593597976046	1593597976046
REQUEST	52		who are you	1593597976048	1593597976051	OK	 
REQUEST	52		parrot	1593597976053	1593597976055	OK	 
REQUEST	52		send location	1593597976057	1593597976059	OK	 
REQUEST	52		send postback	1593597976061	1593597976062	OK	 
USER	All Check	52	END	1593597976046	1593597976063
USER	All Check	53	START	1593597976114	1593597976114
REQUEST	53		who are you	1593597976116	1593597976119	OK	 
REQUEST	53		parrot	1593597976120	1593597976122	OK	 
REQUEST	53		send location	1593597976123	1593597976125	OK	 
REQUEST	53		send postback	1593597976127	1593597976128	OK	 
USER	All Check	53	END	1593597976114	1593597976129
USER	All Check	54	START	1593597976175	1593597976175
REQUEST	54		who are you	1593597976176	1593597976179	OK	 
REQUEST	54		parrot	1593597976181	1593597976182	OK	 
REQUEST	54		send location	1593597976184	1593597976186	OK	 
REQUEST	54		send postback	1593597976187	1593597976189	OK	 
USER	All Check	54	END	1593597976175	1593597976190
USER	All Check	55	START	1593597976237	1593597976237
REQUEST	55		who are you	1593597976239	1593597976242	OK	 
REQUEST	55		parrot	1593597976243	1593597976245	OK	 
REQUEST	55		send location	1593597976247	1593597976249	OK	 
REQUEST	55		send postback	1593597976250	1593597976252	OK	 
USER	All Check	55	END	1593597976237	1593597976253
USER	All Check	56	START	1593597976296	1593597976296
REQUEST	56		who are you	1593597976297	1593597976300	OK	 
REQUEST	56		parrot	1593597976301	1593597976303	OK	 
REQUEST	56		send location	1593597976305	1593597976307	OK	 
REQUEST	56		send postback	1593597976308	1593597976311	OK	 
USER	All Check	56	END	1593597976296	1593597976313
USER	All Check	57	START	1593597976355	1593597976355
REQUEST	57		who are you	1593597976356	1593597976360	OK	 
REQUEST	57		parrot	1593597976362	1593597976363	OK	 
REQUEST	57		send location	1593597976364	1593597976366	OK	 
REQUEST	57		send postback	1593597976367	1593597976369	OK	 
USER	All Check	57	END	1593597976355	1593597976370
USER	All Check	58	START	1593597976406	1593597976406
REQUEST	58		who are you	1593597976408	1593597976411	OK	 
REQUEST	58		parrot	1593597976412	1593597976414	OK	 
REQUEST	58		send location	1593597976415	1593597976417	OK	 
REQUEST	58		send postback	1593597976418	1593597976445	OK	 
USER	All Check	58	END	1593597976406	1593597976446
USER	All Check	59	START	1593597976464	1593597976464
REQUEST	59		who are you	1593597976467	1593597976470	OK	 
REQUEST	59		parrot	1593597976472	1593597976473	OK	 
REQUEST	59		send location	1593597976475	1593597976484	OK	 
REQUEST	59		send postback	1593597976486	1593597976489	OK	 
USER	All Check	59	END	1593597976464	1593597976490
USER	All Check	60	START	1593597976525	1593597976525
REQUEST	60		who are you	1593597976527	1593597976529	OK	 
REQUEST	60		parrot	1593597976531	1593597976532	OK	 
REQUEST	60		send location	1593597976533	1593597976535	OK	 
REQUEST	60		send postback	1593597976537	1593597976538	OK	 
USER	All Check	60	END	1593597976525	1593597976539
USER	All Check	61	START	1593597976575	1593597976575
REQUEST	61		who are you	1593597976577	1593597976579	OK	 
REQUEST	61		parrot	1593597976581	1593597976582	OK	 
REQUEST	61		send location	1593597976583	1593597976585	OK	 
REQUEST	61		send postback	1593597976586	1593597976588	OK	 
USER	All Check	61	END	1593597976575	1593597976589
USER	All Check	62	START	1593597976636	1593597976636
REQUEST	62		who are you	1593597976638	1593597976641	OK	 
REQUEST	62		parrot	1593597976642	1593597976644	OK	 
REQUEST	62		send location	1593597976646	1593597976647	OK	 
REQUEST	62		send postback	1593597976649	1593597976651	OK	 
USER	All Check	62	END	1593597976636	1593597976651
USER	All Check	63	START	1593597976684	1593597976684
REQUEST	63		who are you	1593597976686	1593597976689	OK	 
REQUEST	63		parrot	1593597976690	1593597976692	OK	 
REQUEST	63		send location	1593597976694	1593597976696	OK	 
REQUEST	63		send postback	1593597976698	1593597976700	OK	 
USER	All Check	63	END	1593597976684	1593597976701
USER	All Check	64	START	1593597976735	1593597976735
REQUEST	64		who are you	1593597976736	1593597976739	OK	 
REQUEST	64		parrot	1593597976740	1593597976742	OK	 
REQUEST	64		send location	1593597976743	1593597976745	OK	 
REQUEST	64		send postback	1593597976747	1593597976748	OK	 
USER	All Check	64	END	1593597976735	1593597976750
USER	All Check	65	START	1593597976786	1593597976786
REQUEST	65		who are you	1593597976788	1593597976792	OK	 
REQUEST	65		parrot	1593597976794	1593597976796	OK	 
REQUEST	65		send location	1593597976797	1593597976799	OK	 
REQUEST	65		send postback	1593597976800	1593597976802	OK	 
USER	All Check	65	END	1593597976786	1593597976803
USER	All Check	66	START	1593597976846	1593597976846
REQUEST	66		who are you	1593597976848	1593597976851	OK	 
REQUEST	66		parrot	1593597976852	1593597976853	OK	 
REQUEST	66		send location	1593597976855	1593597976856	OK	 
REQUEST	66		send postback	1593597976857	1593597976859	OK	 
USER	All Check	66	END	1593597976846	1593597976860
USER	All Check	67	START	1593597976896	1593597976896
REQUEST	67		who are you	1593597976897	1593597976900	OK	 
REQUEST	67		parrot	1593597976901	1593597976903	OK	 
REQUEST	67		send location	1593597976904	1593597976905	OK	 
REQUEST	67		send postback	1593597976907	1593597976908	OK	 
USER	All Check	67	END	1593597976896	1593597976909
USER	All Check	68	START	1593597976944	1593597976944
REQUEST	68		who are you	1593597976945	1593597976948	OK	 
REQUEST	68		parrot	1593597976949	1593597976950	OK	 
REQUEST	68		send location	1593597976952	1593597976953	OK	 
REQUEST	68		send postback	1593597976954	1593597976956	OK	 
USER	All Check	68	END	1593597976944	1593597976956
USER	All Check	69	START	1593597976997	1593597976997
REQUEST	69		who are you	1593597976999	1593597977002	OK	 
REQUEST	69		parrot	1593597977003	1593597977005	OK	 
REQUEST	69		send location	1593597977006	1593597977007	OK	 
REQUEST	69		send postback	1593597977010	1593597977012	OK	 
USER	All Check	69	END	1593597976997	1593597977013
USER	All Check	70	START	1593597977045	1593597977045
REQUEST	70		who are you	1593597977046	1593597977048	OK	 
REQUEST	70		parrot	1593597977049	1593597977051	OK	 
REQUEST	70		send location	1593597977052	1593597977053	OK	 
REQUEST	70		send postback	1593597977054	1593597977056	OK	 
USER	All Check	70	END	1593597977045	1593597977057
USER	All Check	71	START	1593597977086	1593597977086
REQUEST	71		who are you	1593597977087	1593597977091	OK	 
REQUEST	71		parrot	1593597977092	1593597977094	OK	 
REQUEST	71		send location	1593597977095	1593597977096	OK	 
REQUEST	71		send postback	1593597977098	1593597977100	OK	 
USER	All Check	71	END	1593597977086	1593597977101
USER	All Check	72	START	1593597977136	1593597977136
REQUEST	72		who are you	1593597977137	1593597977141	OK	 
REQUEST	72		parrot	1593597977142	1593597977144	OK	 
REQUEST	72		send location	1593597977145	1593597977146	OK	 
REQUEST	72		send postback	1593597977148	1593597977149	OK	 
USER	All Check	72	END	1593597977136	1593597977150
USER	All Check	73	START	1593597977185	1593597977185
REQUEST	73		who are you	1593597977186	1593597977188	OK	 
REQUEST	73		parrot	1593597977189	1593597977192	OK	 
REQUEST	73		send location	1593597977193	1593597977195	OK	 
REQUEST	73		send postback	1593597977197	1593597977199	OK	 
USER	All Check	73	END	1593597977185	1593597977201
USER	All Check	74	START	1593597977225	1593597977225
REQUEST	74		who are you	1593597977227	1593597977231	OK	 
REQUEST	74		parrot	1593597977232	1593597977235	OK	 
REQUEST	74		send location	1593597977236	1593597977238	OK	 
