RUN	linebot.LineBotSimulation	linebotsimulation	1593580628513	 	3.3.1
USER	All Check	35	START	1593580640841	1593580640841
REQUEST	35		healthy	1593580640842	1593580640845	OK	 
REQUEST	35		who are you	1593580640846	1593580640848	OK	 
REQUEST	35		parrot	1593580640850	1593580640852	OK	 
REQUEST	35		send location	1593580640854	1593580640856	OK	 
REQUEST	35		send postback	1593580640857	1593580640860	OK	 
USER	All Check	35	END	1593580640841	1593580640861
USER	All Check	36	START	1593580640942	1593580640942
REQUEST	36		healthy	1593580640943	1593580640946	OK	 
REQUEST	36		who are you	1593580640947	1593580640949	OK	 
REQUEST	36		parrot	1593580640950	1593580640952	OK	 
REQUEST	36		send location	1593580640954	1593580640956	OK	 
REQUEST	36		send postback	1593580640957	1593580640959	OK	 
USER	All Check	36	END	1593580640942	1593580640960
USER	All Check	37	START	1593580641041	1593580641041
REQUEST	37		healthy	1593580641042	1593580641044	OK	 
REQUEST	37		who are you	1593580641045	1593580641047	OK	 
REQUEST	37		parrot	1593580641048	1593580641050	OK	 
REQUEST	37		send location	1593580641052	1593580641053	OK	 
REQUEST	37		send postback	1593580641055	1593580641057	OK	 
USER	All Check	37	END	1593580641041	1593580641057
USER	All Check	38	START	1593580641142	1593580641142
REQUEST	38		healthy	1593580641143	1593580641146	OK	 
REQUEST	38		who are you	1593580641147	1593580641149	OK	 
REQUEST	38		parrot	1593580641150	1593580641152	OK	 
REQUEST	38		send location	1593580641153	1593580641155	OK	 
REQUEST	38		send postback	1593580641156	1593580641158	OK	 
USER	All Check	38	END	1593580641142	1593580641159
USER	All Check	39	START	1593580641242	1593580641242
REQUEST	39		healthy	1593580641243	1593580641246	OK	 
REQUEST	39		who are you	1593580641247	1593580641249	OK	 
REQUEST	39		parrot	1593580641251	1593580641253	OK	 
REQUEST	39		send location	1593580641254	1593580641257	OK	 
REQUEST	39		send postback	1593580641258	1593580641260	OK	 
USER	All Check	39	END	1593580641242	1593580641261
USER	All Check	40	START	1593580641342	1593580641342
REQUEST	40		healthy	1593580641342	1593580641346	OK	 
REQUEST	40		who are you	1593580641348	1593580641350	OK	 
REQUEST	40		parrot	1593580641351	1593580641353	OK	 
REQUEST	40		send location	1593580641355	1593580641357	OK	 
REQUEST	40		send postback	1593580641358	1593580641361	OK	 
USER	All Check	40	END	1593580641342	1593580641362
USER	All Check	41	START	1593580641431	1593580641431
REQUEST	41		healthy	1593580641432	1593580641435	OK	 
REQUEST	41		who are you	1593580641437	1593580641439	OK	 
