RUN	linebot.LineBotSimulation	linebotsimulation	1593594765316	 	3.3.1
REQUEST	37		send postback	1593594776291	1593594776292	OK	 
USER	All Check	37	END	1593594776280	1593594776293
USER	All Check	38	START	1593594776359	1593594776359
REQUEST	38		healthy	1593594776359	1593594776364	OK	 
REQUEST	38		who are you	1593594776365	1593594776366	OK	 
REQUEST	38		parrot	1593594776368	1593594776369	OK	 
REQUEST	38		send location	1593594776371	1593594776372	OK	 
REQUEST	38		send postback	1593594776374	1593594776376	OK	 
USER	All Check	38	END	1593594776359	1593594776377
USER	All Check	39	START	1593594776439	1593594776439
REQUEST	39		healthy	1593594776439	1593594776442	OK	 
REQUEST	39		who are you	1593594776443	1593594776444	OK	 
REQUEST	39		parrot	1593594776446	1593594776447	OK	 
REQUEST	39		send location	1593594776449	1593594776450	OK	 
REQUEST	39		send postback	1593594776451	1593594776452	OK	 
USER	All Check	39	END	1593594776439	1593594776453
USER	All Check	40	START	1593594776518	1593594776518
REQUEST	40		healthy	1593594776519	1593594776521	OK	 
REQUEST	40		who are you	1593594776523	1593594776524	OK	 
REQUEST	40		parrot	1593594776525	1593594776527	OK	 
REQUEST	40		send location	1593594776528	1593594776529	OK	 
REQUEST	40		send postback	1593594776531	1593594776532	OK	 
USER	All Check	40	END	1593594776518	1593594776533
USER	All Check	41	START	1593594776589	1593594776589
REQUEST	41		healthy	1593594776590	1593594776594	OK	 
REQUEST	41		who are you	1593594776596	1593594776597	OK	 
REQUEST	41		parrot	1593594776599	1593594776600	OK	 
REQUEST	41		send location	1593594776601	1593594776602	OK	 
REQUEST	41		send postback	1593594776603	1593594776604	OK	 
USER	All Check	41	END	1593594776589	1593594776605
USER	All Check	42	START	1593594776669	1593594776669
REQUEST	42		healthy	1593594776670	1593594776672	OK	 
REQUEST	42		who are you	1593594776673	1593594776674	OK	 
REQUEST	42		parrot	1593594776675	1593594776677	OK	 
REQUEST	42		send location	1593594776678	1593594776679	OK	 
REQUEST	42		send postback	1593594776681	1593594776682	OK	 
USER	All Check	42	END	1593594776669	1593594776683
USER	All Check	43	START	1593594776740	1593594776740
REQUEST	43		healthy	1593594776741	1593594776744	OK	 
REQUEST	43		who are you	1593594776745	1593594776746	OK	 
REQUEST	43		parrot	1593594776748	1593594776749	OK	 
REQUEST	43		send location	1593594776750	1593594776751	OK	 
REQUEST	43		send postback	1593594776753	1593594776754	OK	 
USER	All Check	43	END	1593594776740	1593594776755
USER	All Check	44	START	1593594776809	1593594776809
REQUEST	44		healthy	1593594776810	1593594776813	OK	 
REQUEST	44		who are you	1593594776814	1593594776815	OK	 
REQUEST	44		parrot	1593594776816	1593594776817	OK	 
REQUEST	44		send location	1593594776818	1593594776819	OK	 
REQUEST	44		send postback	1593594776820	1593594776821	OK	 
USER	All Check	44	END	1593594776809	1593594776822
USER	All Check	45	START	1593594776877	1593594776877
REQUEST	45		healthy	1593594776878	1593594776880	OK	 
REQUEST	45		who are you	1593594776881	1593594776882	OK	 
REQUEST	45		parrot	1593594776883	1593594776884	OK	 
REQUEST	45		send location	1593594776886	1593594776886	OK	 
REQUEST	45		send postback	1593594776888	1593594776888	OK	 
USER	All Check	45	END	1593594776877	1593594776889
USER	All Check	46	START	1593594776950	1593594776950
REQUEST	46		healthy	1593594776950	1593594776953	OK	 
REQUEST	46		who are you	1593594776954	1593594776955	OK	 
REQUEST	46		parrot	1593594776956	1593594776957	OK	 
REQUEST	46		send location	1593594776958	1593594776959	OK	 
REQUEST	46		send postback	1593594776961	1593594776962	OK	 
USER	All Check	46	END	1593594776950	1593594776963
USER	All Check	47	START	1593594777009	1593594777009
REQUEST	47		healthy	1593594777010	1593594777013	OK	 
REQUEST	47		who are you	1593594777014	1593594777015	OK	 
REQUEST	47		parrot	1593594777016	1593594777017	OK	 
REQUEST	47		send location	1593594777019	1593594777020	OK	 
REQUEST	47		send postback	1593594777022	1593594777023	OK	 
USER	All Check	47	END	1593594777009	1593594777024
USER	All Check	48	START	1593594777070	1593594777070
REQUEST	48		healthy	1593594777071	1593594777074	OK	 
REQUEST	48		who are you	1593594777075	1593594777077	OK	 
REQUEST	48		parrot	1593594777078	1593594777080	OK	 
REQUEST	48		send location	1593594777081	1593594777082	OK	 
REQUEST	48		send postback	1593594777084	1593594777084	OK	 
USER	All Check	48	END	1593594777070	1593594777086
USER	All Check	49	START	1593594777140	1593594777140
REQUEST	49		healthy	1593594777141	1593594777144	OK	 
REQUEST	49		who are you	1593594777145	1593594777146	OK	 
REQUEST	49		parrot	1593594777147	1593594777148	OK	 
REQUEST	49		send location	1593594777149	1593594777150	OK	 
REQUEST	49		send postback	1593594777151	1593594777152	OK	 
USER	All Check	49	END	1593594777140	1593594777153
USER	All Check	50	START	1593594777200	1593594777200
REQUEST	50		healthy	1593594777200	1593594777202	OK	 
REQUEST	50		who are you	1593594777203	1593594777203	OK	 
REQUEST	50		parrot	1593594777205	1593594777205	OK	 
REQUEST	50		send location	1593594777207	1593594777207	OK	 
REQUEST	50		send postback	1593594777209	1593594777210	OK	 
USER	All Check	50	END	1593594777200	1593594777211
USER	All Check	51	START	1593594777269	1593594777269
REQUEST	51		healthy	1593594777269	1593594777272	OK	 
REQUEST	51		who are you	1593594777273	1593594777274	OK	 
REQUEST	51		parrot	1593594777275	1593594777277	OK	 
REQUEST	51		send location	1593594777278	1593594777279	OK	 
REQUEST	51		send postback	1593594777281	1593594777282	OK	 
USER	All Check	51	END	1593594777269	1593594777283
USER	All Check	52	START	1593594777329	1593594777329
REQUEST	52		healthy	1593594777331	1593594777333	OK	 
REQUEST	52		who are you	1593594777335	1593594777336	OK	 
REQUEST	52		parrot	1593594777338	1593594777339	OK	 
REQUEST	52		send location	1593594777340	1593594777341	OK	 
REQUEST	52		send postback	1593594777342	1593594777343	OK	 
USER	All Check	52	END	1593594777329	1593594777344
USER	All Check	53	START	1593594777390	1593594777390
REQUEST	53		healthy	1593594777390	1593594777394	OK	 
REQUEST	53		who are you	1593594777394	1593594777396	OK	 
REQUEST	53		parrot	1593594777398	1593594777399	OK	 
REQUEST	53		send location	1593594777400	1593594777401	OK	 
REQUEST	53		send postback	1593594777403	1593594777404	OK	 
USER	All Check	53	END	1593594777390	1593594777404
USER	All Check	54	START	1593594777450	1593594777450
REQUEST	54		healthy	1593594777451	1593594777453	OK	 
REQUEST	54		who are you	1593594777454	1593594777455	OK	 
REQUEST	54		parrot	1593594777456	1593594777457	OK	 
REQUEST	54		send location	1593594777458	1593594777459	OK	 
REQUEST	54		send postback	1593594777461	1593594777462	OK	 
USER	All Check	54	END	1593594777450	1593594777463
USER	All Check	55	START	1593594777509	1593594777509
REQUEST	55		healthy	1593594777511	1593594777514	OK	 
REQUEST	55		who are you	1593594777515	1593594777516	OK	 
REQUEST	55		parrot	1593594777517	1593594777518	OK	 
REQUEST	55		send location	1593594777519	1593594777520	OK	 
REQUEST	55		send postback	1593594777521	1593594777522	OK	 
USER	All Check	55	END	1593594777509	1593594777523
USER	All Check	56	START	1593594777570	1593594777570
REQUEST	56		healthy	1593594777571	1593594777574	OK	 
REQUEST	56		who are you	1593594777575	1593594777577	OK	 
REQUEST	56		parrot	1593594777578	1593594777579	OK	 
REQUEST	56		send location	1593594777581	1593594777582	OK	 
REQUEST	56		send postback	1593594777583	1593594777584	OK	 
USER	All Check	56	END	1593594777570	1593594777584
USER	All Check	57	START	1593594777618	1593594777618
REQUEST	57		healthy	1593594777619	1593594777622	OK	 
REQUEST	57		who are you	1593594777623	1593594777623	OK	 
REQUEST	57		parrot	1593594777625	1593594777626	OK	 
REQUEST	57		send location	1593594777627	1593594777629	OK	 
REQUEST	57		send postback	1593594777631	1593594777632	OK	 
USER	All Check	57	END	1593594777618	1593594777633
USER	All Check	58	START	1593594777678	1593594777678
REQUEST	58		healthy	1593594777678	1593594777681	OK	 
REQUEST	58		who are you	1593594777681	1593594777682	OK	 
REQUEST	58		parrot	1593594777683	1593594777684	OK	 
REQUEST	58		send location	1593594777686	1593594777687	OK	 
REQUEST	58		send postback	1593594777693	1593594777695	OK	 
USER	All Check	58	END	1593594777678	1593594777696
USER	All Check	59	START	1593594777740	1593594777740
REQUEST	59		healthy	1593594777741	1593594777743	OK	 
REQUEST	59		who are you	1593594777744	1593594777745	OK	 
REQUEST	59		parrot	1593594777746	1593594777747	OK	 
REQUEST	59		send location	1593594777749	1593594777750	OK	 
REQUEST	59		send postback	1593594777751	1593594777752	OK	 
USER	All Check	59	END	1593594777740	1593594777752
USER	All Check	60	START	1593594777790	1593594777790
REQUEST	60		healthy	1593594777791	1593594777794	OK	 
REQUEST	60		who are you	1593594777795	1593594777796	OK	 
REQUEST	60		parrot	1593594777797	1593594777798	OK	 
REQUEST	60		send location	1593594777800	1593594777801	OK	 
REQUEST	60		send postback	1593594777802	1593594777803	OK	 
USER	All Check	60	END	1593594777790	1593594777804
USER	All Check	61	START	1593594777839	1593594777839
REQUEST	61		healthy	1593594777840	1593594777842	OK	 
REQUEST	61		who are you	1593594777843	1593594777844	OK	 
REQUEST	61		parrot	1593594777845	1593594777846	OK	 
REQUEST	61		send location	1593594777849	1593594777850	OK	 
REQUEST	61		send postback	1593594777852	1593594777853	OK	 
USER	All Check	61	END	1593594777839	1593594777854
USER	All Check	62	START	1593594777900	1593594777900
REQUEST	62		healthy	1593594777900	1593594777903	OK	 
REQUEST	62		who are you	1593594777904	1593594777905	OK	 
REQUEST	62		parrot	1593594777906	1593594777907	OK	 
REQUEST	62		send location	1593594777908	1593594777910	OK	 
REQUEST	62		send postback	1593594777911	1593594777912	OK	 
USER	All Check	62	END	1593594777900	1593594777913
USER	All Check	63	START	1593594777950	1593594777950
REQUEST	63		healthy	1593594777950	1593594777954	OK	 
REQUEST	63		who are you	1593594777955	1593594777956	OK	 
REQUEST	63		parrot	1593594777957	1593594777958	OK	 
REQUEST	63		send location	1593594777960	1593594777962	OK	 
REQUEST	63		send postback	1593594777963	1593594777965	OK	 
USER	All Check	63	END	1593594777950	1593594777966
USER	All Check	64	START	1593594777998	1593594777998
REQUEST	64		healthy	1593594777999	1593594778001	OK	 
REQUEST	64		who are you	1593594778003	1593594778005	OK	 
REQUEST	64		parrot	1593594778006	1593594778007	OK	 
REQUEST	64		send location	1593594778009	1593594778011	OK	 
REQUEST	64		send postback	1593594778013	1593594778014	OK	 
USER	All Check	64	END	1593594777998	1593594778015
USER	All Check	65	START	1593594778050	1593594778050
REQUEST	65		healthy	1593594778051	1593594778053	OK	 
REQUEST	65		who are you	1593594778055	1593594778055	OK	 
REQUEST	65		parrot	1593594778057	1593594778058	OK	 
REQUEST	65		send location	1593594778059	1593594778061	OK	 
REQUEST	65		send postback	1593594778062	1593594778063	OK	 
USER	All Check	65	END	1593594778050	1593594778065
USER	All Check	66	START	1593594778098	1593594778098
REQUEST	66		healthy	1593594778099	1593594778101	OK	 
REQUEST	66		who are you	1593594778102	1593594778102	OK	 
REQUEST	66		parrot	1593594778103	1593594778104	OK	 
REQUEST	66		send location	1593594778105	1593594778106	OK	 
REQUEST	66		send postback	1593594778107	1593594778108	OK	 
USER	All Check	66	END	1593594778098	1593594778109
USER	All Check	67	START	1593594778150	1593594778150
REQUEST	67		healthy	1593594778151	1593594778153	OK	 
REQUEST	67		who are you	1593594778154	1593594778155	OK	 
REQUEST	67		parrot	1593594778156	1593594778157	OK	 
REQUEST	67		send location	1593594778158	1593594778159	OK	 
REQUEST	67		send postback	1593594778160	1593594778161	OK	 
USER	All Check	67	END	1593594778150	1593594778162
USER	All Check	68	START	1593594778199	1593594778199
REQUEST	68		healthy	1593594778201	1593594778203	OK	 
REQUEST	68		who are you	1593594778206	1593594778208	OK	 
REQUEST	68		parrot	1593594778213	1593594778214	OK	 
REQUEST	68		send location	1593594778215	1593594778216	OK	 
REQUEST	68		send postback	1593594778218	1593594778219	OK	 
USER	All Check	68	END	1593594778199	1593594778220
USER	All Check	69	START	1593594778249	1593594778249
REQUEST	69		healthy	1593594778250	1593594778252	OK	 
REQUEST	69		who are you	1593594778253	1593594778254	OK	 
REQUEST	69		parrot	1593594778255	1593594778256	OK	 
REQUEST	69		send location	1593594778257	1593594778258	OK	 
REQUEST	69		send postback	1593594778260	1593594778261	OK	 
USER	All Check	69	END	1593594778249	1593594778262
USER	All Check	70	START	1593594778298	1593594778298
REQUEST	70		healthy	1593594778298	1593594778301	OK	 
REQUEST	70		who are you	1593594778302	1593594778303	OK	 
REQUEST	70		parrot	1593594778304	1593594778305	OK	 
REQUEST	70		send location	1593594778306	1593594778306	OK	 
REQUEST	70		send postback	1593594778307	1593594778308	OK	 
USER	All Check	70	END	1593594778298	1593594778309
USER	All Check	71	START	1593594778349	1593594778349
REQUEST	71		healthy	1593594778350	1593594778352	OK	 
REQUEST	71		who are you	1593594778354	1593594778355	OK	 
REQUEST	71		parrot	1593594778356	1593594778357	OK	 
REQUEST	71		send location	1593594778358	1593594778359	OK	 
REQUEST	71		send postback	1593594778360	1593594778361	OK	 
USER	All Check	71	END	1593594778349	1593594778362
USER	All Check	72	START	1593594778390	1593594778390
REQUEST	72		healthy	1593594778390	1593594778393	OK	 
REQUEST	72		who are you	1593594778395	1593594778396	OK	 
REQUEST	72		parrot	1593594778397	1593594778398	OK	 
REQUEST	72		send location	1593594778399	1593594778400	OK	 
REQUEST	72		send postback	1593594778401	1593594778402	OK	 
USER	All Check	72	END	1593594778390	1593594778403
USER	All Check	73	START	1593594778439	1593594778439
REQUEST	73		healthy	1593594778440	1593594778444	OK	 
REQUEST	73		who are you	1593594778445	1593594778446	OK	 
REQUEST	73		parrot	1593594778447	1593594778448	OK	 
REQUEST	73		send location	1593594778449	1593594778450	OK	 
REQUEST	73		send postback	1593594778451	1593594778452	OK	 
USER	All Check	73	END	1593594778439	1593594778453
